不	26609
人	24044
山	19269
一	17560
日	16911
风	15934
无	15841
中	14867
云	13865
上	13541
有	13433
春	13097
天	12741
何	12375
来	12328
花	12123
月	11944
时	11793
水	11608
相	10822
长	10158
君	10081
年	9994
归	9988
为	9747
秋	9710
生	9616
自	9483
行	9282
见	9177
江	9081
白	9066
心	8998
夜	8948
知	8850
如	8722
此	8300
得	8060
下	8043
清	7866
去	7830
在	7648
高	7643
南	7626
空	7551
明	7508
门	7316
子	7235
三	7195
里	7187
未	7013
客	7004
金	6966
事	6905
处	6883
道	6740
作	6734
送	6694
青	6686
东	6648
多	6620
歌	6609
别	6584
寒	6548
雨	6525
是	6465
玉	6393
落	6356
家	6312
城	6266
声	6254
远	6127
新	6110
千	6105
朝	6082
出	6050
前	6015
今	6006
西	5969
入	5968
书	5886
与	5886
游	5809
路	5808
万	5803
思	5738
诗	5696
阳	5681
草	5620
寄	5603
飞	5600
马	5577
十	5522
开	5475
应	5466
树	5439
酒	5436
同	5422
深	5420
我	5417
尽	5405
流	5378
将	5363
望	5327
还	5274
烟	5271
回	5257
闻	5163
和	5125
已	5118
地	5085
成	5076
闲	5024
欲	5009
色	5006
独	4989
重	4975
石	4951
谁	4950
雪	4897
公	4878
光	4820
可	4801
王	4784
从	4708
林	4694
古	4689
向	4625
更	4613
二	4609
楼	4562
海	4555
州	4548
后	4484
看	4483
香	4458
身	4438
老	4428
旧	4397
满	4391
情	4371
愁	4366
首	4240
衣	4228
龙	4197
头	4183
之	4165
方	4158
红	4151
过	4151
五	4096
难	4068
黄	4004
尘	3979
（	3977
）	3977
外	3968
平	3955
复	3930
名	3924
曲	3905
大	3875
言	3869
台	3854
乐	3809
莫	3807
能	3790
似	3772
仙	3770
分	3769
北	3752
安	3743
犹	3735
到	3689
华	3688
初	3683
发	3683
宫	3660
故	3659
居	3642
松	3635
叶	3615
离	3588
当	3586
晚	3575
少	3573
气	3564
鸟	3536
起	3514
竹	3509
间	3486
边	3419
题	3414
几	3408
怀	3398
意	3395
四	3388
亦	3386
吟	3379
梦	3351
柳	3340
百	3311
暮	3305
九	3272
然	3270
国	3265
文	3262
非	3253
辞	3229
赠	3228
留	3226
醉	3221
因	3219
池	3216
汉	3180
随	3161
河	3151
所	3145
野	3115
枝	3102
神	3101
阴	3056
孤	3055
寺	3044
泉	3023
关	3018
逢	3015
露	2997
临	2973
终	2960
岁	2946
溪	2936
坐	2929
微	2914
李	2912
世	2905
幽	2878
使	2871
问	2861
小	2855
登	2847
若	2835
碧	2803
霜	2797
绿	2787
经	2784
轻	2772
好	2772
士	2766
_	2756
乡	2755
宿	2741
波	2735
芳	2728
连	2721
半	2705
庭	2699
忆	2687
以	2629
期	2621
官	2621
吹	2616
早	2601
对	2597
先	2588
陵	2580
才	2578
近	2574
太	2569
影	2564
共	2562
寻	2558
翠	2541
岂	2523
两	2523
正	2521
须	2513
至	2510
郎	2501
双	2499
舟	2499
晓	2496
亭	2493
照	2486
断	2469
惊	2467
遥	2434
者	2430
残	2417
夕	2397
鹤	2389
曾	2383
苦	2375
主	2357
常	2356
动	2353
物	2346
沙	2333
却	2329
垂	2324
楚	2324
峰	2312
木	2302
静	2301
悲	2291
僧	2288
园	2283
紫	2274
又	2232
恩	2219
凤	2217
女	2216
笑	2205
语	2203
病	2203
听	2202
师	2196
川	2192
绝	2191
鸣	2189
堂	2179
景	2162
兴	2161
星	2157
鱼	2156
浮	2154
真	2154
依	2144
湖	2144
久	2121
通	2119
灵	2113
丹	2110
车	2106
苍	2103
忽	2084
泪	2078
萧	2077
传	2075
只	2074
雁	2070
怜	2070
舞	2069
唯	2062
合	2060
奉	2042
数	2025
秦	2012
章	2007
转	2004
帝	2003
且	2001
尚	1999
爱	1988
张	1983
虚	1978
府	1976
田	1975
散	1975
阁	1972
堪	1957
于	1956
寂	1947
侍	1941
夫	1929
圣	1913
军	1906
隐	1899
咏	1897
节	1895
恨	1893
会	1891
昔	1887
往	1885
元	1881
吾	1868
其	1862
令	1855
疏	1853
杨	1832
穷	1824
窗	1824
火	1822
罗	1821
亲	1817
句	1814
兰	1813
觉	1808
乱	1804
谢	1804
桃	1791
御	1784
洞	1780
直	1780
画	1778
凉	1777
皇	1765
燕	1762
足	1759
吴	1759
始	1755
休	1755
手	1754
皆	1752
容	1748
悠	1745
死	1742
待	1739
霞	1735
信	1735
征	1735
度	1730
晴	1728
暗	1726
兮	1723
迟	1722
剑	1720
珠	1709
感	1706
带	1703
琴	1701
伤	1693
洛	1672
喜	1669
移	1663
胡	1663
功	1662
胜	1661
学	1658
群	1656
八	1655
即	1627
六	1626
宴	1618
虽	1617
隔	1616
贤	1616
观	1615
塞	1610
步	1607
逐	1605
识	1595
德	1592
斜	1586
颜	1586
余	1585
儿	1581
岸	1580
立	1567
含	1566
朱	1566
卧	1565
酬	1561
桂	1556
徒	1554
绕	1552
都	1546
食	1544
镜	1543
羽	1543
欢	1539
愿	1539
馀	1530
杯	1525
横	1520
命	1519
用	1515
浪	1514
丝	1513
武	1506
殿	1505
结	1504
谷	1498
倚	1493
争	1481
解	1462
及	1460
遗	1460
贵	1457
郊	1450
疑	1449
拂	1449
荒	1447
兵	1447
锦	1447
岩	1446
化	1444
字	1444
庙	1443
尔	1438
湘	1437
京	1435
钟	1435
忧	1426
药	1425
口	1425
眼	1425
交	1421
饮	1417
本	1417
禅	1417
薄	1416
栖	1414
定	1413
夏	1409
啼	1407
舍	1407
便	1406
易	1405
友	1403
梁	1398
阙	1394
美	1393
骑	1392
乘	1391
惜	1387
翻	1387
迹	1386
飘	1382
说	1381
臣	1378
杂	1378
卷	1374
诸	1364
越	1355
灯	1353
异	1344
求	1330
劳	1327
赋	1325
著	1325
猿	1322
苔	1321
映	1321
词	1319
七	1317
迎	1316
侯	1315
忘	1312
玄	1311
音	1311
力	1309
第	1300
弦	1299
船	1290
径	1280
郡	1276
干	1275
教	1274
桥	1267
素	1267
荣	1266
念	1265
折	1264
守	1256
兼	1249
战	1248
顾	1246
斗	1246
引	1239
莲	1230
惟	1228
宁	1227
由	1222
暖	1221
任	1219
冷	1218
细	1215
条	1209
稀	1206
鼓	1205
贫	1204
他	1203
韵	1202
轩	1199
摇	1199
遇	1195
衰	1192
许	1186
魂	1185
极	1184
偏	1184
齐	1181
院	1181
村	1180
报	1179
彩	1176
赴	1176
低	1175
住	1173
永	1168
岳	1167
叹	1166
陈	1164
礼	1162
良	1159
渐	1158
息	1158
面	1157
邻	1157
壁	1154
罢	1153
岭	1151
幸	1151
目	1148
眠	1147
原	1146
怨	1145
宜	1138
采	1138
蓬	1136
破	1132
但	1132
鬓	1131
怅	1128
掩	1126
蜀	1126
取	1125
户	1124
史	1122
频	1121
梅	1118
论	1118
载	1116
沈	1116
鸡	1111
变	1108
持	1106
洲	1105
周	1105
想	1104
帘	1103
刘	1103
缘	1102
内	1101
接	1100
宝	1100
片	1098
莺	1096
纷	1096
斋	1096
骨	1095
钓	1093
举	1091
制	1089
悬	1088
暂	1086
冰	1084
宅	1082
倾	1082
凝	1079
偶	1074
虎	1073
失	1072
傍	1072
精	1071
尊	1063
枕	1061
井	1058
佳	1056
渔	1056
盘	1055
房	1054
帆	1053
迷	1047
浦	1047
封	1037
土	1037
孙	1036
司	1034
泥	1034
泛	1032
鸿	1026
眉	1024
俗	1022
伴	1021
必	1015
沧	1015
携	1012
弟	1011
馆	1010
端	1004
昏	1003
访	1003
沉	999
渡	998
蝉	996
代	995
室	995
图	994
晨	994
献	990
管	982
吏	982
业	980
敢	975
收	974
县	971
狂	971
荆	970
旅	963
扬	962
根	957
既	956
肠	954
冥	954
理	953
冠	953
床	952
藏	950
秀	944
急	941
每	941
指	938
仍	935
再	935
丘	935
称	935
银	934
赏	931
全	929
雄	928
阶	927
崔	926
盛	916
那	915
积	914
拜	914
翁	914
卿	906
英	905
承	904
繁	904
恐	904
侵	904
众	903
机	901
茫	900
旌	899
旗	899
最	899
苑	896
雾	894
尺	892
席	892
乌	890
笔	890
裴	888
兹	885
途	885
参	882
冬	880
种	880
况	878
比	877
杜	877
烛	874
哀	873
性	872
志	870
形	868
角	865
殊	864
牛	864
并	862
闭	861
竟	860
荷	859
惭	857
寥	857
被	854
攀	853
乃	851
调	849
湿	849
泽	847
把	847
销	846
遂	842
修	840
计	837
广	835
投	835
象	835
危	833
钱	832
童	832
放	832
桑	831
哭	830
凄	827
津	826
昨	823
点	823
列	823
各	823
屋	823
走	823
负	820
喧	818
绣	817
禁	816
凭	815
消	814
甘	814
涯	814
丛	813
营	813
纵	810
次	810
省	808
鸾	807
抱	807
凌	806
宵	806
而	806
